time,duration,source_ip,destination_ip,protocol,packet_len,dif_serv,flag,ip_vers,src_port,dst_port,data_len,seq,seq_raw,next_seq,ack,ack_raw,flags_res,flags_ns,flags_cwr,flags_ecn,flags_urg,flags_ack,flags_push,flags_reset,flags_syn,flags_fin,win_size,checksum,checksum_status,urgent_pointer,proto_type,proto_size,hw_type,hw_size,hw_opcode,src_hw_mac,dst_hw_mac
0.632829,3.89E-05,0.039062574,0.140407403,0.023529412,0.001281758,0,64,0.666666667,0.023025864,0.138735027,0.000457771,5.07E-06,0.719953226,5.08E-06,8.41E-08,0.563200253,0,0,0,0,0,1,1,0,0,0,0.00779736,0.939711604,2,0,0,0,0,0,0,0,0
0,0.04850316,0.039062572,0.937499999,0.066666667,0.00328069,0,0,0.666666667,0.893873503,0.028992142,0.002761883,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.819455253,2,0.5,0,0,0,0,0,0,0
0.69233,0.010998011,0.140407403,0.039062574,0.023529412,0.002197299,0,64,0.666666667,0.138735027,0.023025864,0.001373312,8.41E-08,0.563200253,1.05E-07,5.08E-06,0.719953233,0,0,0,0,0,1,1,0,0,0,0.770428016,0.110246433,2,0,0,0,0,0,0,0,0
0,0.018134832,0.039062574,0.015310335,0.023529412,0.004135195,0,64,0.666666667,0.027634089,0.006759747,0.003311208,2.33E-10,0.991552332,5.08E-08,2.33E-10,0.886690644,0,0,0,0,0,1,1,0,0,0,0.007751583,0.913450828,2,0,0,0,0,0,0,0,0
0.710469,4.05E-06,0.039062574,0.140407403,0.023529412,0.003356985,0,64,0.666666667,0.023025864,0.138735027,0.002532998,5.08E-06,0.719953233,5.12E-06,1.05E-07,0.563200274,0,0,0,0,0,1,1,0,0,0,0.007782101,0.184328985,2,0,0,0,0,0,0,0,0
0.710582,0.00011301,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,5.12E-06,0.719953272,5.45E-06,1.05E-07,0.563200274,0,0,0,0,0,1,0,0,0,0,0.007782101,0.66973373,2,0,0,0,0,0,0,0,0
0.710582,0,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,5.45E-06,0.719953602,5.78E-06,1.05E-07,0.563200274,0,0,0,0,0,1,0,0,0,0,0.007782101,0.449408713,2,0,0,0,0,0,0,0,0
0.710582,0,0.039062574,0.140407403,0.023529412,0.021087968,0,64,0.666666667,0.023025864,0.138735027,0.020263981,5.78E-06,0.719953933,6.09E-06,1.05E-07,0.563200274,0,0,0,0,0,1,1,0,0,0,0.007782101,0.476630808,2,0,0,0,0,0,0,0,0
0.761256,0.050673962,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,1.05E-07,0.563200274,1.05E-07,6.09E-06,0.719954242,0,0,0,0,0,1,0,0,0,0,0.770428016,0.733272297,2,0,0,0,0,0,0,0,0
0.761293,3.70E-05,0.039062574,0.140407403,0.023529412,0.001281758,0,64,0.666666667,0.023025864,0.138735027,0.000457771,6.09E-06,0.719954242,6.10E-06,1.05E-07,0.563200274,0,0,0,0,0,1,1,0,0,0,0.007782101,0.602883955,2,0,0,0,0,0,0,0,0
0.133457,0.082629204,0.015310335,0.039062574,0.023529412,0.003799496,0,64,0.666666667,0.006759747,0.027634089,0.002975509,2.33E-10,0.886690644,4.56E-08,5.08E-08,0.991552383,0,0,0,0,0,1,1,0,0,0,0.01278706,0.447470817,2,0,0,0,0,0,0,0,0
0.851612,0.007689953,0.140407403,0.039062574,0.023529412,0.002197299,0,64,0.666666667,0.138735027,0.023025864,0.001373312,1.05E-07,0.563200274,1.26E-07,6.10E-06,0.719954249,0,0,0,0,0,1,1,0,0,0,0.770428016,0.023834592,2,0,0,0,0,0,0,0,0
0.867832,0.016219854,0.039062574,0.140407403,0.023529412,0.003356985,0,64,0.666666667,0.023025864,0.138735027,0.002532998,6.10E-06,0.719954249,6.13E-06,1.26E-07,0.563200295,0,0,0,0,0,1,1,0,0,0,0.007782101,0.700068666,2,0,0,0,0,0,0,0,0
0.867929,9.70E-05,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,6.13E-06,0.719954288,6.47E-06,1.26E-07,0.563200295,0,0,0,0,0,1,0,0,0,0,0.007782101,0.852903029,2,0,0,0,0,0,0,0,0
0.867929,0,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,6.47E-06,0.719954618,6.80E-06,1.26E-07,0.563200295,0,0,0,0,0,1,0,0,0,0,0.007782101,0.961257343,2,0,0,0,0,0,0,0,0
0.867929,0,0.039062574,0.140407403,0.023529412,0.021072709,0,64,0.666666667,0.023025864,0.138735027,0.020248722,6.80E-06,0.719954949,7.10E-06,1.26E-07,0.563200295,0,0,0,0,0,1,1,0,0,0,0.007782101,0.208972305,2,0,0,0,0,0,0,0,0
0.17332,0.015856028,0.039062574,0.015310335,0.023529412,0.000823987,0,64,0.666666667,0.027634089,0.006759747,0,5.08E-08,0.991552383,5.08E-08,4.56E-08,0.886690689,0,0,0,0,0,1,0,0,0,0,0.007736324,0.791195544,2,0,0,0,0,0,0,0,0
0.927447,0.043662071,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,1.26E-07,0.563200295,1.26E-07,7.10E-06,0.719955258,0,0,0,0,0,1,0,0,0,0,0.770428016,0.665323873,2,0,0,0,0,0,0,0,0
0.927498,5.10E-05,0.039062574,0.140407403,0.023529412,0.001281758,0,64,0.666666667,0.023025864,0.138735027,0.000457771,7.10E-06,0.719955258,7.11E-06,1.26E-07,0.563200295,0,0,0,0,0,1,1,0,0,0,0.007782101,0.182391089,2,0,0,0,0,0,0,0,0
0.983419,0.055920839,0.140407403,0.039062574,0.023529412,0.002197299,0,64,0.666666667,0.138735027,0.023025864,0.001373312,1.26E-07,0.563200295,1.47E-07,7.11E-06,0.719955265,0,0,0,0,0,1,1,0,0,0,0.770428016,0.386160067,2,0,0,0,0,0,0,0,0
1.008105,0.024686098,0.039062574,0.140407403,0.023529412,0.003356985,0,64,0.666666667,0.023025864,0.138735027,0.002532998,7.11E-06,0.719955265,7.15E-06,1.47E-07,0.563200316,0,0,0,0,0,1,1,0,0,0,0.007858396,0.282429236,2,0,0,0,0,0,0,0,0
1.008198,9.30E-05,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,7.15E-06,0.719955304,7.48E-06,1.47E-07,0.563200316,0,0,0,0,0,1,0,0,0,0,0.007858396,0.512275883,2,0,0,0,0,0,0,0,0
1.008198,0,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,7.48E-06,0.719955634,7.81E-06,1.47E-07,0.563200316,0,0,0,0,0,1,0,0,0,0,0.007858396,0.620004578,2,0,0,0,0,0,0,0,0
1.008198,0,0.039062574,0.140407403,0.023529412,0.02105745,0,64,0.666666667,0.023025864,0.138735027,0.020233463,7.81E-06,0.719955965,8.12E-06,1.47E-07,0.563200316,0,0,0,0,0,1,1,0,0,0,0.007858396,0.967925536,2,0,0,0,0,0,0,0,0
